Country or territory[a],Cases,Deaths,Recoveries[b]
China (mainland)[24][c],80573,3042,53714
South Korea[24],6593,42,108
Iran[24],4747,124,739
Italy[25],4636,197,523
International conveyance[24][d],696,6,100
Germany[24],670,0,17
France[24],653,9,12
Japan[24],420,6,46
Spain[24],400,5,4
United States[24],260,14,8
Switzerland[24],214,1,3
United Kingdom[26],163,2,8
Singapore[24],130,0,82
Netherlands[24],128,1,0
Belgium[24],109,0,1
Norway[24],108,0,0
Hong Kong[24],106,2,43
Sweden[24],101,0,1
Malaysia[24],83,0,23
Australia[27],63,2,21
Bahrain[24],60,0,1
Kuwait[24],58,0,0
Austria[24],55,0,1
Thailand[24],48,1,31
Canada[24],49,0,8
Greece[24],45,0,0
Taiwan[24],45,1,12
Iceland[24],43,0,0
Iraq[24],40,2,0
India[28],31,0,3
United Arab Emirates[24][29],45,0,7
Denmark[30],23,0,1
San Marino[24],21,1,0
Czech Republic[24][31],18,0,0
Algeria[32],17,0,0
Israel[33],21,0,1
Ireland[34],18,0,0
Vietnam[35],17,0,16
Lebanon[24],16,0,1
Oman[24],16,0,2
Egypt[24],15,0,1
Finland[36],15,0,1
Brazil[37],13,0,0
Ecuador[24],13,0,0
Portugal[24][38],13,0,0
Croatia[24],11,0,0
Qatar[39],11,0,0
Estonia[24],10,0,0
Russia[40],10,0,2
Macau[41],10,0,10
Georgia[42],9,0,0
Slovenia[43],7,0,0
Romania[44],7,0,3
Argentina[45],6,0,0
Azerbaijan[24],6,0,0
Belarus[24],6,0,0
Pakistan[46][47],6,0,1
Chile[48],5,0,0
Poland[24],5,0,0
Saudi Arabia[24],5,0,0
Mexico[24],5,0,1
Philippines[24],5,1,2
Hungary[24],4,0,0
Indonesia[49],4,0,0
New Zealand[24],4,0,0
Palestine[24],4,0,0
Senegal[24],4,0,0
Bosnia and Herzegovina[24],2,0,0
Luxembourg[24],2,0,0
Morocco[24],2,0,0
Afghanistan[24],1,0,0
Andorra[24],1,0,0
Armenia[24],1,0,0
Bhutan[24],1,0,0
Cameroon[24],1,0,0
Colombia[50],1,0,0
Costa Rica[24],1,0,0
Dominican Republic[24],1,0,0
Jordan[24],1,0,0
Latvia[24],1,0,0
Liechtenstein[24],1,0,0
Lithuania[24],1,0,0
Monaco[24],1,0,0
Nigeria[24],1,0,0
North Macedonia[24],1,0,0
Peru[51],1,0,0
South Africa[24],1,0,0
Serbia[52],1,0,0
Slovakia[24],1,0,0
Togo[53],1,0,0
Tunisia[24],1,0,0
Ukraine[24],1,0,0
Vatican City[24],1,0,0
Cambodia[24],1,0,1
Nepal[24],1,0,1
Sri Lanka[24],1,0,1
97 territories,101618,"3,460[24]","55,863[24]"
"As of 6 March 2020 Â· History: China, othersvte",,,
"Notes ^ Region where case was diagnosed. Nationality and location of original infection may vary. ^ ""â"" denotes that no data is currently available for that territory, not that the value is zero. ^ Includes clinically diagnosed cases and deaths from 12 February 2020 and onwards in the province of Hubei. ^ A British cruise ship Diamond Princess was in Japanese waters, and Japanese administration was asked to manage its quarantine. Therefore, this case is not included in the Japanese government's official count nor United Kingdom's one. The World Health Organization classifies the cases as being located ""on an international conveyance"".",,,
